iataCode,cityName,airportName,countryCode
AAA,Anaa,Anaa Airport,PF
AAB,Arrabury,Arrabury Airport,AU
AAC,El Arish,El Arish International Airport,EG
AAD,Adado,Adado Airport,SO
AAE,Rabah Bitat,Rabah Bitat Airport (Les Salines Airport),DZ
AAF,Apalachicola,Apalachicola Regional Airport,US
AAG,Arapoti,Arapoti Airport,BR
AAH,Merzbruck,Merzbruck Airport,DE
AAI,Arraias,Arraias Airport,BR
AAJ,Cayana,Cayana Airstrip,SR
AAK,Aranuka,Aranuka Airport,KI
AAL,Aalborg,Aalborg Airport,DK
AAM,Mala Mala,Mala Mala Airport,ZA
AAN,Al Ain,Al Ain International Airport,AE
AAO,Anaco,Anaco Airport,VE
AAP,APT Pranoto,APT Pranoto International Airport,ID
AAQ,Anapa,Anapa Airport,RU
AAR,Aarhus,Aarhus Airport,DK
AAS,Apalapsili,Apalapsili Airport,ID
AAT,Altay,Altay Airport,CN
AAU,Asau,Asau Airport,WS
AAV,Allah Valley,Allah Valley Airport,PH
AAX,Araxa,Araxa Airport,BR
AAY,Al Ghaydah,Al Ghaydah Airport,YE
AAZ,Quetzaltenango,Quetzaltenango Airport,GT
ABA,Abakan,Abakan International Airport,RU
ABB,Asaba,Asaba International Airport,NG
ABC,Albacete,Albacete Airport,ES
ABD,Abadan,Abadan International Airport,IR
ABE,Lehigh Valley,Lehigh Valley International Airport,US
ABF,Abaiang Atoll,Abaiang Atoll Airport,KI
ABG,Abingdon,Abingdon Airport,AU
ABH,Alpha,Alpha Airport,AU
ABI,Abilene,Abilene Regional Airport,US
ABJ,Port Bouet,Port Bouet Airport (Felix Houphouet Boigny Int'l),CI
ABK,Kabri Dar,Kabri Dar Airport,ET
ABL,Ambler,Ambler Airport,US
ABM,Northern Peninsula,Northern Peninsula Airport,AU
ABN,Albina,Albina Airstrip,SR
ABO,Aboisso,Aboisso Airport,CI
ABP,Atkamba,Atkamba Airport,PG
ABQ,Albuquerque,Albuquerque International Sunport,US
